시설물명칭,구간_시작지점,구간_경유지점,구간_종착지점,탐방로길이,소요시간_상행,소요시간_하행
육모정공원지킴터~육모정고개                                                         ,육모정공원지킴터,,육모정고개,1.15,60,40
백운대탐방지원센터~하루재~위문~백운대                                               ,백운대탐방지원센터,하루재-위문,백운대,2,80,60
도선광장~용암문                                                                     ,용암문공원지킴터,,용암문,1.5,70,50
주등산로                                                                            ,소귀천매표소,,대동약수,2.5,30,25
백련공원지킴터~진달래능선~대동문                                                    ,백련공원지킴터,진달래능선,대동문,2.7,90,70
운가사공원지킴터~진달래능선                                                         ,운가사공원지킴터,,진달래능선,1.6,70,50
아카데미탐방지원센터~구천폭포~대동문                                                ,아카데미매표소,구천폭포,대동문,1.9,80,60
위문~용암문~대동문~보국문~대남문                                                    ,위문,용암문-대동문-보국문-대성문,대남문,4.3,180,170
냉골공원지킴터~칼바위능선                                                           ,냉골공원지킴터,,칼바위능선,1.25,25,20
화계동공원지킴터~칼바위능선                                                         ,화계동공원지킴터,,칼바위능선,1.25,25,20
빨래골매표소~산성주능선                                                             ,빨래골매표소,칼바위능선,산성주능선,3.35,120,90
정릉탐방지원센터~보국문                                                             ,정릉탐방지원센터,,보국문,2.26,80,60
청수폭포~일선사~대성문                                                              ,청수폭포,일선사,대성문,2.69,90,70
북악공원지킴터~형제봉삼거리                                                         ,북악공원지킴터,,형제봉삼거리,1.6,25,20
형제봉입구~형제봉~일선사                                                            ,형제봉입구,형제봉,일선사,2.38,80,60
평창공원지킴터~일선사~보현봉~대남문                                                 ,평창공원지킴터,일선사-보현봉,대남문,2.4,80,60
구기분소~대남문                                                                     ,구기분소,,대남문,2.8,100,60
주등산로                                                                            ,비봉매표소,비봉능선-문수봉-,대남문,3.77,60,40
승가공원지킴터~비봉능선                                                             ,승가공원지킴터,,비봉능선,1.61,80,60
탕춘대공원지킴터~절터샘                                                             ,탕춘대공원지킴터,,절터샘,1,20,15
구기터널입구~구기불광능선                                                           ,구기터널입구,,구기불광능선,1.8,25,20
불광계곡~족두리봉                                                                   ,불광계곡,,족두리봉,1.4,50,30
불광계곡~비봉                                                                       ,불광계곡,,비봉,2.3,30,25
주등산로                                                                            ,기독교수양관,,향로봉밑 갈림길,1.2,15,10
기자촌~향로봉                                                                       ,기자촌,,향로봉,1.8,20,15
진관계곡~비봉                                                                       ,진관계곡,,비봉,3.62,80,70
삼천사입구~사모바위                                                                 ,삼천사입구,,사모바위,2.7,35,30
주등산로                                                                            ,삼천사계곡,,문수봉,1.5,70,50
